Unnamed: 0,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,date,defensive_rebounds,game_score,location,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,opponent,outcome,personal_fouls,plus_minus,points_scored,seconds_played,steals,team,turnovers,name,slug,season_end_year,starter,salary
0,0,3,2,0,0,2014-10-28,0,-1.9,Location.HOME,1,0,0,0,Team.HOUSTON_ROCKETS,Outcome.LOSS,1,-18,2,814,0,Team.LOS_ANGELES_LAKERS,1,Julius Randle,randlju01,2015,0.0,4800
1,0,3,3,1,0,2014-10-29,3,2.0,Location.HOME,1,1,0,2,Team.LOS_ANGELES_LAKERS,Outcome.WIN,2,-2,3,770,0,Team.PHOENIX_SUNS,0,Shavlik Randolph,randosh01,2015,0.0,3000
2,0,1,0,0,0,2014-11-01,0,0.0,Location.AWAY,0,0,0,1,Team.UTAH_JAZZ,Outcome.LOSS,0,-3,0,284,0,Team.PHOENIX_SUNS,0,Shavlik Randolph,randosh01,2015,0.0,3000
3,0,0,0,0,0,2014-11-05,0,0.0,Location.HOME,0,0,0,0,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,0,1,0,111,0,Team.PHOENIX_SUNS,0,Shavlik Randolph,randosh01,2015,0.0,3000
4,0,1,0,1,0,2014-11-07,0,-2.9,Location.HOME,0,0,0,0,Team.SACRAMENTO_KINGS,Outcome.LOSS,3,-4,0,491,0,Team.PHOENIX_SUNS,1,Shavlik Randolph,randosh01,2015,0.0,3000
5,0,0,0,0,0,2014-11-15,0,-0.4,Location.AWAY,0,0,0,0,Team.LOS_ANGELES_CLIPPERS,Outcome.LOSS,1,3,0,117,0,Team.PHOENIX_SUNS,0,Shavlik Randolph,randosh01,2015,0.0,3000
6,2,3,0,1,0,2014-11-21,3,0.8,Location.AWAY,0,0,0,2,Team.PHILADELPHIA_76ERS,Outcome.WIN,2,-2,0,633,0,Team.PHOENIX_SUNS,0,Shavlik Randolph,randosh01,2015,0.0,3000
7,0,1,0,0,0,2014-11-22,1,1.6,Location.AWAY,1,0,0,0,Team.INDIANA_PACERS,Outcome.WIN,1,-2,2,261,0,Team.PHOENIX_SUNS,0,Shavlik Randolph,randosh01,2015,0.0,3000
8,0,0,0,0,0,2014-11-24,1,0.3,Location.AWAY,0,0,0,0,Team.TORONTO_RAPTORS,Outcome.LOSS,0,-2,0,346,0,Team.PHOENIX_SUNS,0,Shavlik Randolph,randosh01,2015,0.0,3000
9,1,3,0,0,1,2014-11-28,0,4.8,Location.AWAY,2,0,0,1,Team.DENVER_NUGGETS,Outcome.LOSS,0,0,4,356,0,Team.PHOENIX_SUNS,0,Shavlik Randolph,randosh01,2015,0.0,3000
10,0,0,0,0,0,2014-12-02,0,1.7,Location.HOME,0,0,0,1,Team.INDIANA_PACERS,Outcome.WIN,0,-1,0,113,1,Team.PHOENIX_SUNS,0,Shavlik Randolph,randosh01,2015,0.0,3000
11,0,9,5,1,0,2014-12-14,1,4.3,Location.AWAY,2,2,0,3,Team.OKLAHOMA_CITY_THUNDER,Outcome.LOSS,1,3,6,1081,3,Team.PHOENIX_SUNS,0,Shavlik Randolph,randosh01,2015,0.0,3000
12,0,2,2,0,1,2014-12-21,2,1.5,Location.AWAY,0,2,0,0,Team.WASHINGTON_WIZARDS,Outcome.WIN,1,3,2,603,0,Team.PHOENIX_SUNS,0,Shavlik Randolph,randosh01,2015,0.0,3000
13,0,0,0,0,0,2014-12-26,0,0.0,Location.AWAY,0,0,0,0,Team.SACRAMENTO_KINGS,Outcome.WIN,0,-2,0,70,0,Team.PHOENIX_SUNS,0,Shavlik Randolph,randosh01,2015,0.0,3000
14,0,1,0,0,0,2014-12-28,0,-0.4,Location.AWAY,0,0,0,1,Team.LOS_ANGELES_LAKERS,Outcome.WIN,1,-4,0,307,0,Team.PHOENIX_SUNS,0,Shavlik Randolph,randosh01,2015,0.0,3000
15,0,0,0,0,0,2015-01-02,0,-1.0,Location.HOME,0,0,0,0,Team.PHILADELPHIA_76ERS,Outcome.WIN,0,0,0,130,0,Team.PHOENIX_SUNS,1,Shavlik Randolph,randosh01,2015,0.0,3000
16,0,1,0,0,0,2015-01-04,3,0.5,Location.HOME,0,0,0,1,Team.TORONTO_RAPTORS,Outcome.WIN,1,-5,0,407,0,Team.PHOENIX_SUNS,0,Shavlik Randolph,randosh01,2015,0.0,3000
17,0,3,0,0,0,2015-02-20,2,0.9,Location.AWAY,1,0,0,2,Team.SACRAMENTO_KINGS,Outcome.LOSS,1,-5,2,371,0,Team.BOSTON_CELTICS,1,Shavlik Randolph,randosh01,2015,0.0,3000
18,0,0,0,0,0,2015-02-25,0,-0.4,Location.HOME,0,0,0,0,Team.NEW_YORK_KNICKS,Outcome.WIN,1,-2,0,148,0,Team.BOSTON_CELTICS,0,Shavlik Randolph,randosh01,2015,0.0,3000
19,1,6,0,1,1,2015-03-03,2,4.6,Location.AWAY,2,0,0,2,Team.CLEVELAND_CAVALIERS,Outcome.LOSS,1,-1,4,766,1,Team.BOSTON_CELTICS,0,Shavlik Randolph,randosh01,2015,0.0,3000
20,0,1,2,0,0,2015-03-16,2,0.5,Location.HOME,0,1,0,0,Team.PHILADELPHIA_76ERS,Outcome.WIN,0,-1,1,132,0,Team.BOSTON_CELTICS,0,Shavlik Randolph,randosh01,2015,0.0,3000
21,0,0,0,0,0,2015-03-20,2,0.6,Location.AWAY,0,0,0,0,Team.SAN_ANTONIO_SPURS,Outcome.LOSS,0,2,0,77,0,Team.BOSTON_CELTICS,0,Shavlik Randolph,randosh01,2015,0.0,3000
22,1,16,1,0,1,2014-10-29,7,21.1,Location.HOME,12,1,0,6,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,3,11,25,2077,1,Team.MEMPHIS_GRIZZLIES,5,Zach Randolph,randoza01,2015,1.0,7300
23,1,14,10,0,0,2014-10-31,7,22.0,Location.AWAY,7,8,0,6,Team.INDIANA_PACERS,Outcome.WIN,3,21,22,1965,3,Team.MEMPHIS_GRIZZLIES,1,Zach Randolph,randoza01,2015,1.0,7600
