,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,date,defensive_rebounds,game_score,location,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,opponent,outcome,personal_fouls,plus_minus,points_scored,seconds_played,steals,team,turnovers,name,slug,season_end_year
0,0,2,0,0,0,2016-04-13,0,3.7,Location.AWAY,2,0,0,1,Team.MILWAUKEE_BUCKS,Outcome.WIN,1,-10,4,366,0,Team.INDIANA_PACERS,0,Rakeem Christmas,chrisra01,2016
1,2,3,0,1,0,2015-10-30,0,1.3,Location.AWAY,1,0,0,0,Team.HOUSTON_ROCKETS,Outcome.WIN,1,-5,2,276,0,Team.GOLDEN_STATE_WARRIORS,0,Ian Clark,clarkia01,2016
2,0,0,0,0,0,2015-10-31,0,0.0,Location.AWAY,0,0,0,0,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,0,1,0,30,0,Team.GOLDEN_STATE_WARRIORS,0,Ian Clark,clarkia01,2016
3,1,4,6,1,0,2015-11-02,2,15.8,Location.HOME,4,6,1,1,Team.MEMPHIS_GRIZZLIES,Outcome.WIN,0,6,15,720,0,Team.GOLDEN_STATE_WARRIORS,0,Ian Clark,clarkia01,2016
4,3,2,0,1,0,2015-11-06,1,0.0,Location.HOME,0,0,0,0,Team.DENVER_NUGGETS,Outcome.WIN,0,0,0,451,0,Team.GOLDEN_STATE_WARRIORS,1,Ian Clark,clarkia01,2016
5,0,1,0,1,0,2015-11-11,1,-2.4,Location.AWAY,0,0,0,0,Team.MEMPHIS_GRIZZLIES,Outcome.WIN,0,-3,0,141,0,Team.GOLDEN_STATE_WARRIORS,2,Ian Clark,clarkia01,2016
6,1,4,0,3,0,2015-11-12,1,4.2,Location.AWAY,2,0,2,0,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,2,-3,6,220,0,Team.GOLDEN_STATE_WARRIORS,0,Ian Clark,clarkia01,2016
7,0,4,0,1,0,2015-11-14,0,-0.8,Location.HOME,1,0,0,0,Team.BROOKLYN_NETS,Outcome.WIN,1,5,2,555,0,Team.GOLDEN_STATE_WARRIORS,0,Ian Clark,clarkia01,2016
8,2,3,2,2,0,2015-11-17,0,2.3,Location.HOME,1,1,1,0,Team.TORONTO_RAPTORS,Outcome.WIN,0,-6,4,380,1,Team.GOLDEN_STATE_WARRIORS,2,Ian Clark,clarkia01,2016
9,1,1,0,0,1,2015-11-19,1,0.6,Location.AWAY,0,0,0,0,Team.LOS_ANGELES_CLIPPERS,Outcome.WIN,1,6,0,314,0,Team.GOLDEN_STATE_WARRIORS,0,Ian Clark,clarkia01,2016
10,1,0,0,0,0,2015-11-20,1,0.6,Location.HOME,0,0,0,0,Team.CHICAGO_BULLS,Outcome.WIN,1,0,0,160,0,Team.GOLDEN_STATE_WARRIORS,0,Ian Clark,clarkia01,2016
11,1,3,0,1,1,2015-11-22,0,3.0,Location.AWAY,2,0,0,1,Team.DENVER_NUGGETS,Outcome.WIN,2,-2,4,529,0,Team.GOLDEN_STATE_WARRIORS,1,Ian Clark,clarkia01,2016
12,1,3,0,1,0,2015-11-24,1,1.6,Location.HOME,0,0,0,1,Team.LOS_ANGELES_LAKERS,Outcome.WIN,0,-5,0,363,2,Team.GOLDEN_STATE_WARRIORS,0,Ian Clark,clarkia01,2016
13,2,7,0,2,0,2015-11-27,2,3.1,Location.AWAY,3,0,1,0,Team.PHOENIX_SUNS,Outcome.WIN,3,-2,7,787,1,Team.GOLDEN_STATE_WARRIORS,2,Ian Clark,clarkia01,2016
14,1,4,2,2,0,2015-11-28,1,6.0,Location.HOME,2,2,2,0,Team.SACRAMENTO_KINGS,Outcome.WIN,0,-6,8,520,0,Team.GOLDEN_STATE_WARRIORS,1,Ian Clark,clarkia01,2016
15,0,5,0,5,1,2015-11-30,1,10.7,Location.AWAY,4,0,4,0,Team.UTAH_JAZZ,Outcome.WIN,1,2,12,368,0,Team.GOLDEN_STATE_WARRIORS,0,Ian Clark,clarkia01,2016
16,0,1,0,0,0,2015-12-02,1,1.7,Location.AWAY,1,0,0,1,Team.CHARLOTTE_HORNETS,Outcome.WIN,0,-2,2,499,0,Team.GOLDEN_STATE_WARRIORS,1,Ian Clark,clarkia01,2016
17,0,1,0,0,0,2015-12-05,0,1.7,Location.AWAY,1,0,0,0,Team.TORONTO_RAPTORS,Outcome.WIN,0,-1,2,299,0,Team.GOLDEN_STATE_WARRIORS,0,Ian Clark,clarkia01,2016
18,0,2,0,1,0,2015-12-06,0,-3.2,Location.AWAY,0,0,0,0,Team.BROOKLYN_NETS,Outcome.WIN,2,-11,0,515,0,Team.GOLDEN_STATE_WARRIORS,1,Ian Clark,clarkia01,2016
19,2,5,0,1,0,2015-12-08,0,-0.9,Location.AWAY,1,0,0,0,Team.INDIANA_PACERS,Outcome.WIN,3,-10,2,741,0,Team.GOLDEN_STATE_WARRIORS,0,Ian Clark,clarkia01,2016
20,0,9,0,2,0,2015-12-11,2,0.8,Location.AWAY,3,0,0,1,Team.BOSTON_CELTICS,Outcome.WIN,1,1,6,1152,0,Team.GOLDEN_STATE_WARRIORS,1,Ian Clark,clarkia01,2016
21,0,0,0,0,0,2015-12-12,0,0.0,Location.AWAY,0,0,0,0,Team.MILWAUKEE_BUCKS,Outcome.LOSS,0,0,0,62,0,Team.GOLDEN_STATE_WARRIORS,0,Ian Clark,clarkia01,2016
22,1,2,0,1,0,2015-12-16,1,0.0,Location.HOME,1,0,0,0,Team.PHOENIX_SUNS,Outcome.WIN,0,-12,2,380,0,Team.GOLDEN_STATE_WARRIORS,2,Ian Clark,clarkia01,2016
23,0,3,0,1,0,2015-12-23,0,5.1,Location.HOME,3,0,1,0,Team.UTAH_JAZZ,Outcome.WIN,0,6,7,454,0,Team.GOLDEN_STATE_WARRIORS,1,Ian Clark,clarkia01,2016
